epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,180.74,0.42563,0.47928,0.31765,0.79179,0.99614,1,0.995,0.89085,0.99614,1,0.995,0.81672,0.7332,1.43566,0.33008,0.85061,0.00079238,0.00079238,0.00079238
92,182.72,0.43033,0.49283,0.32253,0.79087,0.9962,1,0.995,0.90393,0.9962,1,0.995,0.80424,0.70218,1.46733,0.33882,0.84473,0.000785307,0.000785307,0.000785307
93,184.692,0.42201,0.49596,0.31679,0.80024,0.99628,1,0.995,0.90292,0.99628,1,0.995,0.81328,0.705,1.44185,0.33854,0.84598,0.000778233,0.000778233,0.000778233
94,186.69,0.43487,0.49567,0.3161,0.79892,0.99495,1,0.995,0.90189,0.99495,1,0.995,0.81904,0.71323,1.21359,0.33477,0.84741,0.00077116,0.00077116,0.00077116
95,188.632,0.4312,0.49523,0.32327,0.79255,0.99497,1,0.995,0.89675,0.99497,1,0.995,0.8112,0.70772,1.08609,0.32068,0.84593,0.000764086,0.000764086,0.000764086
96,190.618,0.40833,0.50516,0.3097,0.79602,0.99608,1,0.995,0.89258,0.99608,1,0.995,0.82087,0.73873,1.2494,0.33351,0.85333,0.000757013,0.000757013,0.000757013
97,192.558,0.41641,0.47319,0.31394,0.79926,0.99638,1,0.995,0.89186,0.99638,1,0.995,0.81318,0.71937,1.27689,0.33256,0.85001,0.000749939,0.000749939,0.000749939
98,194.519,0.43276,0.47139,0.31199,0.79206,0.99541,1,0.995,0.89484,0.99541,1,0.995,0.80124,0.70531,1.32552,0.33098,0.84855,0.000742866,0.000742866,0.000742866
99,196.484,0.43863,0.49904,0.32018,0.79486,0.99361,1,0.995,0.89549,0.99361,1,0.995,0.81607,0.7267,1.46635,0.32994,0.85231,0.000735792,0.000735792,0.000735792
100,198.496,0.43878,0.47591,0.31041,0.78853,0.99131,1,0.995,0.89293,0.99131,1,0.995,0.83002,0.7187,1.40719,0.3225,0.85054,0.000728719,0.000728719,0.000728719
101,200.461,0.4147,0.49072,0.31048,0.79559,0.99359,1,0.995,0.89636,0.99359,1,0.995,0.81964,0.72281,1.48936,0.32246,0.8524,0.000721645,0.000721645,0.000721645
102,202.463,0.42859,0.52004,0.30722,0.79504,0.99639,1,0.995,0.90286,0.99639,1,0.995,0.82273,0.71598,1.38332,0.34556,0.84802,0.000714571,0.000714571,0.000714571
103,204.405,0.40528,0.49199,0.29918,0.79165,0.99536,1,0.995,0.90137,0.99536,1,0.995,0.81815,0.72447,1.36583,0.33795,0.85043,0.000707498,0.000707498,0.000707498
104,206.408,0.42137,0.49638,0.30798,0.79531,0.99272,1,0.995,0.90167,0.99272,1,0.995,0.82253,0.71268,1.40311,0.33673,0.84829,0.000700424,0.000700424,0.000700424
105,208.397,0.42267,0.4939,0.30512,0.79486,0.99268,1,0.995,0.90021,0.99268,1,0.995,0.83305,0.70717,1.32724,0.32989,0.84553,0.000693351,0.000693351,0.000693351
106,210.414,0.41594,0.47817,0.29984,0.79095,0.99471,1,0.995,0.89965,0.99471,1,0.995,0.8176,0.71215,1.36812,0.32097,0.84576,0.000686277,0.000686277,0.000686277
107,212.41,0.43118,0.49461,0.30604,0.78561,0.99605,1,0.995,0.89491,0.99605,1,0.995,0.82655,0.71878,1.34687,0.32136,0.848,0.000679204,0.000679204,0.000679204
108,214.386,0.43101,0.48352,0.30738,0.78717,0.99492,1,0.995,0.90045,0.99492,1,0.995,0.83671,0.72257,1.27288,0.32344,0.8472,0.00067213,0.00067213,0.00067213
109,216.366,0.3998,0.48574,0.29746,0.79905,0.99454,1,0.995,0.8914,0.99454,1,0.995,0.8254,0.73785,1.34779,0.32273,0.85191,0.000665057,0.000665057,0.000665057
110,218.414,0.4054,0.45958,0.29482,0.78758,0.99587,1,0.995,0.90109,0.99587,1,0.995,0.81765,0.70484,1.29595,0.32091,0.84457,0.000657983,0.000657983,0.000657983
111,220.386,0.39529,0.48725,0.29139,0.79154,0.99644,1,0.995,0.90119,0.99644,1,0.995,0.81817,0.70202,1.3306,0.31922,0.84411,0.000650909,0.000650909,0.000650909
112,222.368,0.4226,0.48948,0.29852,0.79427,0.99586,1,0.995,0.8964,0.99586,1,0.995,0.81633,0.72658,1.44003,0.32287,0.85077,0.000643836,0.000643836,0.000643836
113,224.326,0.39809,0.4684,0.28673,0.78718,0.99511,1,0.995,0.90037,0.99511,1,0.995,0.81264,0.70243,1.31956,0.32054,0.84731,0.000636762,0.000636762,0.000636762
114,226.327,0.3994,0.47646,0.29222,0.78437,0.99629,1,0.995,0.89403,0.99629,1,0.995,0.81976,0.71906,1.31573,0.3262,0.84911,0.000629689,0.000629689,0.000629689
115,228.35,0.40402,0.47848,0.29547,0.78496,0.99549,1,0.995,0.89056,0.99549,1,0.995,0.81617,0.72265,1.32416,0.31937,0.85048,0.000622615,0.000622615,0.000622615
116,230.34,0.40035,0.45712,0.29179,0.79587,0.99571,1,0.995,0.8887,0.99571,1,0.995,0.82049,0.70108,1.29069,0.31462,0.84701,0.000615542,0.000615542,0.000615542
117,232.291,0.39436,0.45048,0.28599,0.79555,0.9973,1,0.995,0.89437,0.9973,1,0.995,0.82493,0.69921,1.31305,0.31252,0.8469,0.000608468,0.000608468,0.000608468
118,234.387,0.38593,0.45658,0.2803,0.79537,0.99747,1,0.995,0.89978,0.99747,1,0.995,0.82023,0.71487,1.39603,0.3301,0.84909,0.000601395,0.000601395,0.000601395
119,236.324,0.39103,0.44895,0.28445,0.79373,0.99617,1,0.995,0.90037,0.99617,1,0.995,0.81801,0.69968,1.39833,0.3267,0.84653,0.000594321,0.000594321,0.000594321
120,238.308,0.39398,0.45593,0.28533,0.7871,0.99448,1,0.995,0.89894,0.99448,1,0.995,0.83447,0.70715,1.45564,0.3122,0.84654,0.000587248,0.000587248,0.000587248
121,240.337,0.40089,0.47446,0.2877,0.78724,0.99514,1,0.995,0.89456,0.99514,1,0.995,0.81888,0.71083,1.49725,0.31667,0.84765,0.000580174,0.000580174,0.000580174
122,242.293,0.3972,0.46406,0.28796,0.79118,0.99579,1,0.995,0.89437,0.99579,1,0.995,0.81782,0.69925,1.41361,0.31142,0.84592,0.0005731,0.0005731,0.0005731
123,244.274,0.38698,0.43968,0.27967,0.78189,0.99555,1,0.995,0.89614,0.99555,1,0.995,0.83276,0.70949,1.41278,0.31597,0.84758,0.000566027,0.000566027,0.000566027
124,246.265,0.40089,0.45387,0.29128,0.79244,0.99523,1,0.995,0.90382,0.99523,1,0.995,0.82775,0.70005,1.34533,0.31295,0.84386,0.000558953,0.000558953,0.000558953
125,248.199,0.40228,0.48242,0.28903,0.79064,0.99585,1,0.995,0.90086,0.99585,1,0.995,0.82438,0.70255,1.34899,0.31604,0.84409,0.00055188,0.00055188,0.00055188
126,250.221,0.40071,0.46064,0.28542,0.7974,0.99621,1,0.995,0.90021,0.99621,1,0.995,0.8312,0.71645,1.36708,0.31894,0.84979,0.000544806,0.000544806,0.000544806
127,252.146,0.3958,0.45957,0.28292,0.79563,0.99613,1,0.995,0.89806,0.99613,1,0.995,0.82531,0.6972,1.27808,0.31262,0.8476,0.000537733,0.000537733,0.000537733
128,254.174,0.38899,0.45327,0.2806,0.78925,0.99659,1,0.995,0.89468,0.99659,1,0.995,0.81966,0.7118,1.27344,0.32536,0.84914,0.000530659,0.000530659,0.000530659
129,256.169,0.39799,0.45797,0.28449,0.78621,0.99614,1,0.995,0.89732,0.99614,1,0.995,0.82886,0.70471,1.20891,0.31787,0.84697,0.000523586,0.000523586,0.000523586
130,258.153,0.37668,0.45709,0.28568,0.78879,0.99484,1,0.995,0.9008,0.99484,1,0.995,0.82215,0.69919,1.18853,0.31411,0.84535,0.000516512,0.000516512,0.000516512
131,260.135,0.39747,0.47828,0.28911,0.79608,0.99533,1,0.995,0.89806,0.99533,1,0.995,0.82293,0.7056,1.23045,0.3168,0.84806,0.000509438,0.000509438,0.000509438
132,262.219,0.38338,0.45182,0.27971,0.78841,0.9957,1,0.995,0.90539,0.9957,1,0.995,0.82495,0.70038,1.1887,0.32874,0.84591,0.000502365,0.000502365,0.000502365
